post_id,Me gusta,Me encanta,Me enfada,Me importa,Me asombra,Me divierte,Me entristece
3398313130224076,11.0,1.0,,,,,
3411410688914320,21.0,,,,,,
3398248670230522,107.0,10.0,,,,,
3398244050230984,130.0,12.0,,,,,
3407993922589330,97.0,3.0,,,,,
3398239110231478,2.0,,,,,,
3408087095913346,27.0,1.0,,,,,
3398224006899655,142.0,15.0,,,,,
3398189493569773,124.0,4.0,,,,,
3407969185925137,165.0,16.0,,1.0,,,
3400678306654225,245.0,21.0,,,,,
3398218013566921,82.0,13.0,,1.0,,,
3398211783567544,75.0,7.0,,,,,
3398200876901968,125.0,10.0,,,,,1.0
3398198716902184,53.0,1.0,,,,,
3398181686903887,222.0,17.0,,,,,1.0
3398173120238077,286.0,35.0,,1.0,,,
3398148066907249,71.0,7.0,,,,,
3400669696655086,108.0,5.0,,,,,
3398155876906468,107.0,19.0,,,,,
3398205403568182,82.0,9.0,,,,,
3398309890224400,82.0,9.0,,,,,
3398292223559500,64.0,8.0,,,,,
3419835391405183,9.0,,,,,,
3400687643319958,57.0,10.0,,,,,
3398284713560251,80.0,5.0,,,,,
3408002905921765,82.0,9.0,,,,,
3398288490226540,36.0,1.0,,,,,
3398280466894009,5.0,,,,,,
3398276030227786,412.0,65.0,,2.0,,,
3411416222247100,9.0,,,,,,
3398263026895753,82.0,8.0,,,,,
3416044215117634,23.0,2.0,,,,,
3398259770229412,144.0,18.0,,4.0,,,
3398256350229754,161.0,21.0,,1.0,,,
3398266350228754,7.0,1.0,,,,,
3400681086653947,85.0,5.0,,,,,
3398252050230184,154.0,7.0,,,,,
3326919080696815,78.0,5.0,,,1.0,,
3326912804030776,28.0,1.0,,,,,
3326892154032841,83.0,9.0,,,,1.0,
3326841590704564,119.0,10.0,,,,,
3326871674034889,523.0,61.0,,,,7.0,
3326851070703616,265.0,98.0,,6.0,,,
3326374340751289,130.0,6.0,,,,1.0,
3325788954143161,97.0,5.0,,,,,
3325765374145519,137.0,12.0,,1.0,,,
3320622034659853,45.0,2.0,,,,,
3320612897994100,275.0,50.0,,,,1.0,
3317235684998488,93.0,2.0,,,,,
3320580701330653,74.0,5.0,,,,,
3320445551344168,115.0,11.0,,,,,
3320435371345186,101.0,10.0,,,,,
3320415008013889,71.0,3.0,,,,,
3318540494868007,556.0,60.0,,,,,
3317224144999642,38.0,2.0,,,,1.0,
3317232371665486,31.0,2.0,,,,,
3316993278356062,68.0,6.0,,,,,
3317218968333493,357.0,56.0,,2.0,,,
3316983938356996,117.0,8.0,,,,2.0,
3313178145404242,106.0,2.0,,,,,
3314586395263417,16.0,2.0,,,1.0,,
3311588605563196,40.0,,,,,,
3311583975563659,165.0,4.0,,,,,
3311319995590057,132.0,4.0,,,,,
3311298812258842,260.0,29.0,,,,,
3311197985602258,175.0,9.0,,,,,
3304811979574192,12.0,1.0,,,,,
3159195854135806,71.0,3.0,,,,1.0,
3304808962907827,246.0,55.0,,2.0,,,
3304750662913657,174.0,11.0,,,,,
3282556891799701,21.0,1.0,,,,,
3304730319582358,104.0,7.0,,,,1.0,
3295961593792564,40.0,4.0,,,,,
3296236090431781,104.0,8.0,,,,,
3295985963790127,127.0,23.0,,2.0,,,
3295964250458965,21.0,,,,,,
3295975437124513,83.0,6.0,,,,,
3296044947117562,114.0,7.0,,,,,
3295958940459496,128.0,16.0,,,1.0,,
3282549128467144,3.0,297.0,,24.0,,,
3296224897099567,111.0,10.0,,,1.0,,
3297962770259113,50.0,6.0,,,,,
3295936970461693,149.0,19.0,,,,,
3295933760462014,176.0,25.0,,,,,
3295282957193761,212.0,21.0,,,,,
3294930627228994,224.0,34.0,,,,1.0,
3292251747496882,47.0,1.0,,,,,
3282545275134196,123.0,6.0,,,,,
3292248264163897,207.0,17.0,,,,,
3286030354785688,16.0,1.0,,,,,
3286020418120015,127.0,28.0,,,,,
3286013921453998,305.0,55.0,,,,,
3283115585077165,162.0,22.0,,,,,
3283118425076881,41.0,5.0,,,,,
3282804381774952,136.0,12.0,,,,,
3283113041744086,188.0,33.0,,,,,
3274167575971966,110.0,3.0,,,,,
3274171712638219,100.0,7.0,,,,,1.0
3273971645991559,94.0,11.0,,,,,
3273958445992879,18.0,2.0,,,,,
3273944209327636,150.0,16.0,,,,1.0,
3174455802609811,138.0,13.0,,,,1.0,
3273879246000799,169.0,16.0,,,,1.0,
2808193505902711,235.0,29.0,,,,38.0,
3273854229336634,193.0,23.0,,,,,
3273806186008105,146.0,13.0,,1.0,,,
3264085310313526,738.0,148.0,,,,2.0,
3264052450316812,23.0,3.0,,,,,
3264076983647692,152.0,9.0,,1.0,,,
3269864116402312,44.0,1.0,,,,,
3264032920318765,122.0,11.0,,,,,
3159201787468546,85.0,4.0,,,,,
3267512293304161,515.0,67.0,,4.0,,,
3266318633423527,33.0,2.0,,,,,
3264012250320832,574.0,74.0,,,,6.0,
3263898016998922,87.0,4.0,,,,,
3263871957001528,96.0,4.0,,,,,
3263013760420681,49.0,2.0,,,,,
3261300857258638,88.0,9.0,,,,,1.0
3260575930664464,51.0,2.0,,,,,
3260520910669966,69.0,3.0,,,,,
3217073098348081,91.0,6.0,,1.0,,,
3218203344901723,34.0,4.0,,,,,
3203487859706605,116.0,8.0,,,,,
3252040761517981,41.0,1.0,,,,,
3218224384899619,92.0,,,1.0,,,
3218195784902479,29.0,2.0,,,,,
3248984725156918,68.0,5.0,,,,,
3239068116148579,30.0,,,,,,
3252035444851846,187.0,25.0,,2.0,,,
3218189938236397,98.0,4.0,,,,1.0,
3218175898237801,77.0,1.0,,,,,2.0
3174459412609450,602.0,151.0,,6.0,,,
3218171764904881,65.0,,,,,,
3239062106149180,101.0,9.0,,1.0,,,
3218159968239394,87.0,3.0,,,,,1.0
3218142618241129,65.0,3.0,,,,,
3218072904914767,60.0,3.0,,,,3.0,
3218061548249236,112.0,12.0,,,,,
3218052228250168,239.0,21.0,,1.0,,,
3218024138252977,64.0,2.0,,,1.0,,
3218016798253711,44.0,1.0,,1.0,,,
3217968724925185,40.0,1.0,,,,,
3239057969482927,87.0,8.0,,,,,
3203681529687238,81.0,3.0,,,,,
3217621421626582,37.0,,,,,,
3217955528259838,180.0,16.0,,,,,
3203673443021380,189.0,21.0,,1.0,,,
3217256871663037,51.0,,,,,,
3203660566356001,33.0,,,,,,
3217612091627515,87.0,2.0,,,,,
3203630213025703,72.0,4.0,,,,,
3217143178341073,60.0,8.0,,,,1.0,
3203641926357865,14.0,,,,,,
3203650589690332,219.0,23.0,,,,,
3227699790618745,44.0,2.0,,,,1.0,
3227689020619822,13.0,2.0,,,,,
3203179036404154,108.0,4.0,,,,,
3218620818193309,11.0,1.0,,,,,
3203609703027754,275.0,14.0,,2.0,,,
3217119655010092,44.0,1.0,,,,,
3217107351677989,56.0,3.0,,,,,
3218617231527001,34.0,3.0,,,,,
3203561826365875,128.0,2.0,,,,,
3203174726404585,81.0,2.0,,,,,
3217097278345663,50.0,1.0,,,,,
3217088571679867,61.0,6.0,,,,,
3203543179701073,216.0,16.0,,,,,
3203523196369738,63.0,7.0,,,,,
3203504516371606,339.0,19.0,,,,7.0,
3209184115803646,70.0,3.0,,,,,
3203514513037273,213.0,18.0,,,,,
3217056585016399,71.0,3.0,,,,,
3203171899738201,126.0,12.0,,,,2.0,
3203482303040494,37.0,,,,,1.0,
3159189360803122,121.0,1.0,,,,1.0,
3202671229788268,78.0,4.0,,,,1.0,
3202665633122161,13.0,,,,,,
3202659656456092,159.0,8.0,,,,1.0,
3202663019789089,17.0,1.0,,,,,
3203159393072785,294.0,32.0,,2.0,,,
3202649226457135,42.0,3.0,,,,1.0,
3209149019140489,63.0,3.0,,,,,
3202646303124094,123.0,9.0,,,,,
3202624393126285,173.0,11.0,,,,,
3206628942725830,121.0,3.0,,,1.0,,
3202615279793863,904.0,53.0,,,,334.0,
3202618833126841,82.0,2.0,,,1.0,,
3202610676460990,125.0,10.0,,,,,
3202604976461560,15.0,,,,,,
3202600206462037,231.0,17.0,,4.0,,,
3203155093073215,194.0,14.0,,,,1.0,
3159183287470396,66.0,2.0,,,,,
3202560773132647,25.0,,,,,,
3202557629799628,250.0,19.0,,,,,
3200072903381434,17.0,,,,,,
3199352973453427,161.0,15.0,,,,,
3200108103377914,476.0,41.0,,,,9.0,
3199318856790172,139.0,6.0,,,,,
3193673570688034,148.0,5.0,,,,,
3179673032088088,452.0,71.0,,1.0,,,
3193665320688859,83.0,8.0,,,,,
3193639877358070,110.0,6.0,,1.0,,,
3159178207470904,127.0,3.0,,,,,
3193632517358806,377.0,28.0,,,,,
3190284914360233,92.0,1.0,,,,,
3179670272088364,294.0,73.0,,,2.0,,
3190255114363213,83.0,3.0,,,,1.0,
